L.p.,Identyfikator,Nr działki,Jednostka ewidencyjna,Obręb,Powierzchnia ewidencyjna,Klasoużytki,Adres,Granica sporna?,Teren zamknięty?,Rejestr zabytków,Zmodyfikował(a)
63,220502_4.0001.88/5,88/5,Kartuzy - M,1,0.0003,RIVb 0.0003,,Nie,Nie,,DANE OSOBOWE
64,220502_4.0001.71/5,71/5,Kartuzy - M,1,0.0748,B 0.0748,,Nie,Nie,,DANE OSOBOWE
65,220502_4.0001.12/100,12/100,Kartuzy - M,1,0.0213,B 0.0213,ul. Łąkowa 11,Nie,Nie,,DANE OSOBOWE
66,220502_4.0001.12/99,12/99,Kartuzy - M,1,0.0225,B 0.0225,ul. Łąkowa 11a,Nie,Nie,,DANE OSOBOWE
67,220502_4.0001.15/17,15/17,Kartuzy - M,1,0.0385,B 0.0385,ul. Wzgórze Wolności 24,Nie,Nie,,DANE OSOBOWE
68,220502_4.0001.3/3,3/3,Kartuzy - M,1,0.2395,B 0.2395,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
69,220502_4.0001.15/16,15/16,Kartuzy - M,1,0.0363,B 0.0363,ul. Wzgórze Wolności 24,Nie,Nie,,DANE OSOBOWE
70,220502_4.0001.8/17,8/17,Kartuzy - M,1,0.0563,B 0.0563,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
71,220502_4.0001.8/12,8/12,Kartuzy - M,1,0.0051,B 0.0051,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
72,220502_4.0001.8/14,8/14,Kartuzy - M,1,0.0145,B 0.0145,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
73,220502_4.0001.8/16,8/16,Kartuzy - M,1,0.0142,B 0.0142,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
74,220502_4.0001.70/10,70/10,Kartuzy - M,1,0.0615,B 0.0615,,Nie,Nie,,DANE OSOBOWE
75,220502_4.0001.8/19,8/19,Kartuzy - M,1,0.0471,B 0.0471,ul. Łąkowa 75A,Nie,Nie,,DANE OSOBOWE
76,220502_4.0001.88/2,88/2,Kartuzy - M,1,0.0953,B 0.0953,ul. Prokowska 14,Nie,Nie,,DANE OSOBOWE
77,220502_4.0001.15/18,15/18,Kartuzy - M,1,0.0165,dr 0.0165,,Nie,Nie,,DANE OSOBOWE
78,220502_4.0001.27,27,Kartuzy - M,1,0.0546,B 0.0546,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
79,220502_4.0001.74/3,74/3,Kartuzy - M,1,0.044,B 0.0440,,Nie,Nie,,DANE OSOBOWE
80,220502_4.0001.8/18,8/18,Kartuzy - M,1,0.0307,B 0.0307,ul. Łąkowa 75,Nie,Nie,,DANE OSOBOWE
81,220502_4.0001.148/3,148/3,Kartuzy - M,1,0.0012,RIVb 0.0012,,Nie,Nie,,DANE OSOBOWE
82,220502_4.0001.68/13,68/13,Kartuzy - M,1,0.0258,B 0.0258,ul. Gdyńskich Kosynierów,Nie,Nie,,DANE OSOBOWE
83,220502_4.0001.68/14,68/14,Kartuzy - M,1,0.0288,B 0.0288,ul. Gdyńskich Kosynierów,Nie,Nie,,DANE OSOBOWE
84,220502_4.0001.12/86,12/86,Kartuzy - M,1,0.0269,B 0.0269,ul. Łąkowa 19,Nie,Nie,,DANE OSOBOWE
85,220502_4.0001.6/5,6/5,Kartuzy - M,1,0.0059,Ba 0.0059,,Nie,Nie,,DANE OSOBOWE
86,220502_4.0001.70/7,70/7,Kartuzy - M,1,0.0569,B 0.0569,ul. Gdyńskich Kosynierów 14,Nie,Nie,,DANE OSOBOWE
87,220502_4.0001.12/50,12/50,Kartuzy - M,1,0.0633,B 0.0633,ul. Łąkowa 37,Nie,Nie,,DANE OSOBOWE
88,220502_4.0001.7/57,7/57,Kartuzy - M,1,0.0086,Ba 0.0086,,Nie,Nie,,DANE OSOBOWE
89,220502_4.0001.12/49,12/49,Kartuzy - M,1,0.0621,B 0.0621,ul. Łąkowa 35,Nie,Nie,,DANE OSOBOWE
90,220502_4.0001.12/102,12/102,Kartuzy - M,1,0.0409,B 0.0409,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
91,220502_4.0001.61/9,61/9,Kartuzy - M,1,0.029,B 0.0290,ul. Obrońców Poczty Polskiej 2,Nie,Nie,,DANE OSOBOWE
92,220502_4.0001.39/1,39/1,Kartuzy - M,1,0.0945,B 0.0945,ul. Podgórna 18,Nie,Nie,,DANE OSOBOWE
93,220502_4.0001.70/5,70/5,Kartuzy - M,1,0.073,B 0.0730,,Nie,Nie,,DANE OSOBOWE
94,220502_4.0001.7/11,7/11,Kartuzy - M,1,0.0466,B 0.0466,ul. Łąkowa 61,Nie,Nie,,DANE OSOBOWE
95,220502_4.0001.3/6,3/6,Kartuzy - M,1,0.2338,B 0.2338,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
96,220502_4.0001.3/7,3/7,Kartuzy - M,1,0.2014,B 0.2014,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
97,220502_4.0001.3/5,3/5,Kartuzy - M,1,0.1685,B 0.1685,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
98,220502_4.0001.70/20,70/20,Kartuzy - M,1,0.0599,B 0.0599,,Nie,Nie,,DANE OSOBOWE
99,220502_4.0001.7/55,7/55,Kartuzy - M,1,0.0738,RIVb 0.0346; N 0.0392,ul. Krasickiego 5,Nie,Nie,,DANE OSOBOWE
100,220502_4.0001.72/5,72/5,Kartuzy - M,1,0.0302,B 0.0302,,Nie,Nie,,DANE OSOBOWE
101,220502_4.0001.111/2,111/2,Kartuzy - M,1,0.1297,B 0.1297,ul. Bohaterów Westerplatte 34,Nie,Nie,,DANE OSOBOWE
102,220502_4.0001.178/6,178/6,Kartuzy - M,1,0.0606,B 0.0606,,Nie,Nie,,DANE OSOBOWE
103,220502_4.0001.178/5,178/5,Kartuzy - M,1,0.0681,B 0.0681,,Nie,Nie,,DANE OSOBOWE
104,220502_4.0001.14/26,14/26,Kartuzy - M,1,0.0026,ŁV 0.0026,ul. Podgórna 11A,Nie,Nie,,DANE OSOBOWE
105,220502_4.0001.46,46,Kartuzy - M,1,0.0605,B 0.0605,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
106,220502_4.0001.38/1,38/1,Kartuzy - M,1,0.041,B 0.0410,ul. Podgórna 20,Nie,Nie,,DANE OSOBOWE
107,220502_4.0001.191,191,Kartuzy - M,1,0.0126,dr 0.0126,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
108,220502_4.0001.190,190,Kartuzy - M,1,0.0043,B 0.0043,,Nie,Nie,,DANE OSOBOWE
109,220502_4.0001.168/1,168/1,Kartuzy - M,1,0.0205,B 0.0205,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
110,220502_4.0001.8/5,8/5,Kartuzy - M,1,0.0732,B 0.0732,ul. Ignacego Krasickiego 11,Nie,Nie,,DANE OSOBOWE
111,220502_4.0001.12/30,12/30,Kartuzy - M,1,0.0642,B 0.0642,,Nie,Nie,,DANE OSOBOWE
112,220502_4.0001.6/3,6/3,Kartuzy - M,1,0.0084,Ba 0.0084,,Nie,Nie,,DANE OSOBOWE
113,220502_4.0001.168/2,168/2,Kartuzy - M,1,0.0257,B 0.0257,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
114,220502_4.0001.178/4,178/4,Kartuzy - M,1,0.002,B 0.0020,,Nie,Nie,,DANE OSOBOWE
115,220502_4.0001.188,188,Kartuzy - M,1,0.0458,B 0.0458,ul. Gdyńskich Kosynierów,Nie,Nie,,DANE OSOBOWE
116,220502_4.0001.187,187,Kartuzy - M,1,0.0419,B 0.0419,ul. Gdyńskich Kosynierów,Nie,Nie,,DANE OSOBOWE
117,220502_4.0001.12/89,12/89,Kartuzy - M,1,0.0529,B 0.0529,ul. Łąkowa 2,Nie,Nie,,DANE OSOBOWE
118,220502_4.0001.170,170,Kartuzy - M,1,0.04,B 0.0400,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
119,220502_4.0001.103,103,Kartuzy - M,1,0.0004,Ba 0.0004,,Nie,Nie,,DANE OSOBOWE
120,220502_4.0001.117,117,Kartuzy - M,1,0.0046,Ba 0.0046,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
121,220502_4.0001.124,124,Kartuzy - M,1,0.0629,B 0.0629,ul. Klasztorna 14,Nie,Nie,,DANE OSOBOWE
122,220502_4.0001.58/1,58/1,Kartuzy - M,1,0.0314,RIVb 0.0314,ul. Wzgórze Wolności 6,Nie,Nie,,DANE OSOBOWE
123,220502_4.0001.59/1,59/1,Kartuzy - M,1,0.0306,RIVb 0.0306,,Nie,Nie,,DANE OSOBOWE
124,220502_4.0001.57,57,Kartuzy - M,1,0.0742,RIVb 0.0742,,Nie,Nie,,DANE OSOBOWE
125,220502_4.0001.88/6,88/6,Kartuzy - M,1,0.0517,B 0.0517,,Nie,Nie,,DANE OSOBOWE
126,220502_4.0001.87/7,87/7,Kartuzy - M,1,0.0094,B 0.0094,ul. Bohaterów Westerplatte 38,Nie,Nie,,DANE OSOBOWE
127,220502_4.0001.7/20,7/20,Kartuzy - M,1,0.052,B 0.0520,ul. Łąkowa 40,Nie,Nie,,DANE OSOBOWE
128,220502_4.0001.122/2,122/2,Kartuzy - M,1,0.0472,B 0.0472,ul. Klasztorna,Nie,Nie,,DANE OSOBOWE
129,220502_4.0001.122/1,122/1,Kartuzy - M,1,0.0058,B 0.0058,ul. Klasztorna,Nie,Nie,,DANE OSOBOWE
130,220502_4.0001.2/4,2/4,Kartuzy - M,1,0.5759,dr 0.5759,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
131,220502_4.0001.12/11,12/11,Kartuzy - M,1,0.0438,B 0.0438,ul. Łąkowa 17,Nie,Nie,,DANE OSOBOWE
132,220502_4.0001.4/10,4/10,Kartuzy - M,1,0.0856,dr 0.0856,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
133,220502_4.0001.5/2,5/2,Kartuzy - M,1,0.0031,dr 0.0031,,Nie,Nie,,DANE OSOBOWE
134,220502_4.0001.12/101,12/101,Kartuzy - M,1,0.0184,B 0.0184,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
135,220502_4.0001.47,47,Kartuzy - M,1,0.068,B 0.0680,ul. Podgórna 4,Nie,Nie,,DANE OSOBOWE
136,220502_4.0001.31/2,31/2,Kartuzy - M,1,0.0376,B 0.0376,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
137,220502_4.0001.7/43,7/43,Kartuzy - M,1,0.0569,B 0.0569,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
138,220502_4.0001.165,165,Kartuzy - M,1,0.0503,B 0.0503,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
139,220502_4.0001.82/4,82/4,Kartuzy - M,1,0.0414,B 0.0414,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
140,220502_4.0001.83/3,83/3,Kartuzy - M,1,0.0301,B 0.0301,,Nie,Nie,,DANE OSOBOWE
141,220502_4.0001.72/4,72/4,Kartuzy - M,1,0.0248,B 0.0248,,Nie,Nie,,DANE OSOBOWE
142,220502_4.0001.83/2,83/2,Kartuzy - M,1,0.1016,B 0.1016,ul. Prokowska 20,Nie,Nie,,DANE OSOBOWE
143,220502_4.0001.68/22,68/22,Kartuzy - M,1,0.0674,B 0.0674,ul. Prokowska 7,Nie,Nie,,DANE OSOBOWE
144,220502_4.0001.14/29,14/29,Kartuzy - M,1,0.0352,ŁV 0.0352,ul. Zagórze 6,Nie,Nie,,DANE OSOBOWE
145,220502_4.0001.82/10,82/10,Kartuzy - M,1,0.0328,B 0.0328,ul. Bohaterów Westerplatte 43,Nie,Nie,,DANE OSOBOWE
146,220502_4.0001.15/23,15/23,Kartuzy - M,1,0.0566,dr 0.0566,,Nie,Nie,,DANE OSOBOWE
147,220502_4.0001.15/21,15/21,Kartuzy - M,1,0.1301,B 0.1301,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
148,220502_4.0001.184/2,184/2,Kartuzy - M,1,0.0036,dr 0.0036,ul. Gdyńskich Kosynierów,Nie,Nie,,DANE OSOBOWE
149,220502_4.0001.184/3,184/3,Kartuzy - M,1,0.0072,dr 0.0072,ul. Gdyńskich Kosynierów,Nie,Nie,,DANE OSOBOWE
150,220502_4.0001.61/6,61/6,Kartuzy - M,1,0.0436,B 0.0436,ul. Gdyńskich Kosynierów 8,Nie,Nie,,DANE OSOBOWE
151,220502_4.0001.61/10,61/10,Kartuzy - M,1,0.0296,B 0.0296,ul. Obrońców Poczty Polskiej 2,Nie,Nie,,DANE OSOBOWE
152,220502_4.0001.82/9,82/9,Kartuzy - M,1,0.0307,B 0.0307,ul. Bohaterów Westerplatte 43A,Nie,Nie,,DANE OSOBOWE
153,220502_4.0001.39/4,39/4,Kartuzy - M,1,0.0814,B 0.0814,,Nie,Nie,,DANE OSOBOWE
154,220502_4.0001.96/2,96/2,Kartuzy - M,1,0.0543,B 0.0543,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
155,220502_4.0001.121,121,Kartuzy - M,1,0.0211,B 0.0211,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
156,220502_4.0001.5/4,5/4,Kartuzy - M,1,0.0196,Ba 0.0196,,Nie,Nie,,DANE OSOBOWE
157,220502_4.0001.5/6,5/6,Kartuzy - M,1,0.0058,Ba 0.0058,,Nie,Nie,,DANE OSOBOWE
158,220502_4.0001.2/3,2/3,Kartuzy - M,1,0.0007,dr 0.0007,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
159,220502_4.0001.1/7,1/7,Kartuzy - M,1,0.0025,dr 0.0025,,Nie,Nie,,DANE OSOBOWE
160,220502_4.0001.1/8,1/8,Kartuzy - M,1,0.0072,dr 0.0072,,Nie,Nie,,DANE OSOBOWE
161,220502_4.0001.4/13,4/13,Kartuzy - M,1,0.0099,dr 0.0099,,Nie,Nie,,DANE OSOBOWE
162,220502_4.0001.196,196,Kartuzy - M,1,0.052,B 0.0520,ul. Podgórna 11A,Nie,Nie,,DANE OSOBOWE
163,220502_4.0001.184/1,184/1,Kartuzy - M,1,0.0143,dr 0.0143,ul. Gdyńskich Kosynierów,Nie,Nie,,DANE OSOBOWE
164,220502_4.0001.43,43,Kartuzy - M,1,0.0635,B 0.0635,ul. Podgórna 10,Nie,Nie,,DANE OSOBOWE
165,220502_4.0001.136/1,136/1,Kartuzy - M,1,0.0408,B 0.0408,ul. Obrońców Poczty Polskiej,Nie,Nie,,DANE OSOBOWE
166,220502_4.0001.76/8,76/8,Kartuzy - M,1,0.1289,PsIV 0.1289,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
167,220502_4.0001.4/22,4/22,Kartuzy - M,1,0.089,Ba 0.0890,,Nie,Nie,,DANE OSOBOWE
168,220502_4.0001.14/3,14/3,Kartuzy - M,1,0.0747,B 0.0747,ul. Zagórze 3,Nie,Nie,,DANE OSOBOWE
169,220502_4.0001.70/22,70/22,Kartuzy - M,1,0.0284,B 0.0284,,Nie,Nie,,DANE OSOBOWE
170,220502_4.0001.87/3,87/3,Kartuzy - M,1,0.0735,B 0.0735,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
171,220502_4.0001.197/1,197/1,Kartuzy - M,1,0.3142,B 0.3142,"ul. Prokowska 40A, ul. Prokowska 40B",Nie,Nie,,DANE OSOBOWE
172,220502_4.0001.133,133,Kartuzy - M,1,0.0019,Wp 0.0019,,Nie,Nie,,DANE OSOBOWE
173,220502_4.0001.134,134,Kartuzy - M,1,0.0425,Wp 0.0425,,Nie,Nie,,DANE OSOBOWE
174,220502_4.0001.67/2,67/2,Kartuzy - M,1,0.0088,B 0.0088,ul. Prokowska 5,Nie,Nie,,DANE OSOBOWE
175,220502_4.0001.75/8,75/8,Kartuzy - M,1,0.0634,dr 0.0634,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
176,220502_4.0001.70/21,70/21,Kartuzy - M,1,0.0541,B 0.0541,ul. Prokowska 9b,Nie,Nie,,DANE OSOBOWE
177,220502_4.0001.65/2,65/2,Kartuzy - M,1,0.0563,B 0.0563,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
178,220502_4.0001.65/3,65/3,Kartuzy - M,1,0.042,B 0.0420,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
179,220502_4.0001.81/9,81/9,Kartuzy - M,1,0.0704,B 0.0704,ul. Łąkowa 54,Nie,Nie,,DANE OSOBOWE
180,220502_4.0001.197/3,197/3,Kartuzy - M,1,0.2607,B 0.2607,"ul. Prokowska 40C, ul. Prokowska 40D, ul. Prokowska 40E",Nie,Nie,,DANE OSOBOWE
181,220502_4.0001.12/105,12/105,Kartuzy - M,1,0.0103,B 0.0103,ul. Łąkowa 33,Nie,Nie,,DANE OSOBOWE
182,220502_4.0001.75/4,75/4,Kartuzy - M,1,0.0764,B 0.0764,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
183,220502_4.0001.12/104,12/104,Kartuzy - M,1,0.0277,B 0.0277,ul. Łąkowa 33,Nie,Nie,,DANE OSOBOWE
184,220502_4.0001.12/103,12/103,Kartuzy - M,1,0.0277,B 0.0277,ul. Łąkowa 33,Nie,Nie,,DANE OSOBOWE
185,220502_4.0001.105,105,Kartuzy - M,1,0.0028,dr 0.0028,,Nie,Nie,,DANE OSOBOWE
186,220502_4.0001.7/28,7/28,Kartuzy - M,1,0.065,B 0.0650,ul. Łąkowa 71,Nie,Nie,,DANE OSOBOWE
187,220502_4.0001.161,161,Kartuzy - M,1,0.0063,dr 0.0063,,Nie,Nie,,DANE OSOBOWE
188,220502_4.0001.114/1,114/1,Kartuzy - M,1,0.0095,dr 0.0095,,Nie,Nie,,DANE OSOBOWE
189,220502_4.0001.84/3,84/3,Kartuzy - M,1,0.0645,dr 0.0645,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
190,220502_4.0001.88/1,88/1,Kartuzy - M,1,0.0013,dr 0.0013,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
191,220502_4.0001.81/1,81/1,Kartuzy - M,1,0.0034,dr 0.0034,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
192,220502_4.0001.83/1,83/1,Kartuzy - M,1,0.0045,dr 0.0045,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
193,220502_4.0001.83/5,83/5,Kartuzy - M,1,0.027,dr 0.0270,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
194,220502_4.0001.87/4,87/4,Kartuzy - M,1,0.0666,dr 0.0666,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
195,220502_4.0001.78/4,78/4,Kartuzy - M,1,0.0608,dr 0.0608,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
196,220502_4.0001.141/2,141/2,Kartuzy - M,1,0.0013,dr 0.0013,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
197,220502_4.0001.81/7,81/7,Kartuzy - M,1,0.0292,dr 0.0292,,Nie,Nie,,DANE OSOBOWE
198,220502_4.0001.139/1,139/1,Kartuzy - M,1,0.0014,RIVb 0.0014,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
199,220502_4.0001.167/5,167/5,Kartuzy - M,1,0.0511,dr 0.0511,,Nie,Nie,,DANE OSOBOWE
200,220502_4.0001.184/4,184/4,Kartuzy - M,1,0.0446,dr 0.0446,ul. Gdyńskich Kosynierów,Nie,Nie,,DANE OSOBOWE
201,220502_4.0001.141/3,141/3,Kartuzy - M,1,0.3873,dr 0.3873,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
202,220502_4.0001.12/43,12/43,Kartuzy - M,1,0.106,dr 0.1060,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
203,220502_4.0001.12/55,12/55,Kartuzy - M,1,0.0045,dr 0.0045,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
204,220502_4.0001.12/62,12/62,Kartuzy - M,1,0.0572,dr 0.0572,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
205,220502_4.0001.7/33,7/33,Kartuzy - M,1,0.0355,dr 0.0355,,Nie,Nie,,DANE OSOBOWE
206,220502_4.0001.7/35,7/35,Kartuzy - M,1,0.0242,dr 0.0242,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
207,220502_4.0001.7/48,7/48,Kartuzy - M,1,0.2211,dr 0.2211,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
208,220502_4.0001.7/53,7/53,Kartuzy - M,1,0.0049,dr 0.0049,,Nie,Nie,,DANE OSOBOWE
209,220502_4.0001.12/85,12/85,Kartuzy - M,1,0.0606,dr 0.0606,,Nie,Nie,,DANE OSOBOWE
210,220502_4.0001.8/3,8/3,Kartuzy - M,1,0.0921,dr 0.0921,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
211,220502_4.0001.8/7,8/7,Kartuzy - M,1,0.0322,dr 0.0322,ul. Łąkowa,Nie,Nie,,DANE OSOBOWE
212,220502_4.0001.107,107,Kartuzy - M,1,0.0054,dr 0.0054,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
213,220502_4.0001.108,108,Kartuzy - M,1,0.0034,dr 0.0034,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
214,220502_4.0001.109,109,Kartuzy - M,1,0.0041,dr 0.0041,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
215,220502_4.0001.74/5,74/5,Kartuzy - M,1,0.0277,dr 0.0277,,Nie,Nie,,DANE OSOBOWE
216,220502_4.0001.178/3,178/3,Kartuzy - M,1,0.0009,B 0.0009,,Nie,Nie,,DANE OSOBOWE
217,220502_4.0001.14/6,14/6,Kartuzy - M,1,0.1864,ŁV 0.1864,ul. Zagórze 11,Nie,Nie,,DANE OSOBOWE
218,220502_4.0001.14/18,14/18,Kartuzy - M,1,0.0973,ŁV 0.0973,,Nie,Nie,,DANE OSOBOWE
219,220502_4.0001.14/20,14/20,Kartuzy - M,1,0.0025,dr 0.0025,,Nie,Nie,,DANE OSOBOWE
220,220502_4.0001.12/95,12/95,Kartuzy - M,1,0.0066,Bz 0.0066,,Nie,Nie,,DANE OSOBOWE
221,220502_4.0001.34/1,34/1,Kartuzy - M,1,0.1203,dr 0.1203,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
222,220502_4.0001.14/14,14/14,Kartuzy - M,1,0.0033,dr 0.0033,,Nie,Nie,,DANE OSOBOWE
223,220502_4.0001.14/15,14/15,Kartuzy - M,1,0.0531,dr 0.0531,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
224,220502_4.0001.28,28,Kartuzy - M,1,0.0154,dr 0.0154,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
225,220502_4.0001.50,50,Kartuzy - M,1,0.0357,dr 0.0357,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
226,220502_4.0001.54,54,Kartuzy - M,1,0.0381,dr 0.0381,,Nie,Nie,,DANE OSOBOWE
227,220502_4.0001.44/1,44/1,Kartuzy - M,1,0.1079,dr 0.1079,,Nie,Nie,,DANE OSOBOWE
228,220502_4.0001.55,55,Kartuzy - M,1,0.0241,PsV 0.0241,,Nie,Nie,,DANE OSOBOWE
229,220502_4.0001.70/1,70/1,Kartuzy - M,1,0.0118,dr 0.0118,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
230,220502_4.0001.68/20,68/20,Kartuzy - M,1,0.0344,dr 0.0344,,Nie,Nie,,DANE OSOBOWE
231,220502_4.0001.76/9,76/9,Kartuzy - M,1,0.1289,B 0.1289,ul. Łąkowa 32d,Nie,Nie,,DANE OSOBOWE
232,220502_4.0001.198,198,Kartuzy - M,1,0.0493,ŁV 0.0163; B 0.0330,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
233,220502_4.0001.79/3,79/3,Kartuzy - M,1,0.2176,RIVb 0.2176,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
234,220502_4.0001.102/4,102/4,Kartuzy - M,1,0.1326,dr 0.1326,ul. Klasztorna,Nie,Nie,,DANE OSOBOWE
235,220502_4.0001.130/4,130/4,Kartuzy - M,1,0.2084,RIVa 0.2084,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
236,220502_4.0001.88/11,88/11,Kartuzy - M,1,0.0338,dr 0.0338,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
237,220502_4.0001.88/9,88/9,Kartuzy - M,1,0.0681,B 0.0681,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
238,220502_4.0001.12/79,12/79,Kartuzy - M,1,0.0565,B 0.0565,ul. Łąkowa 26,Nie,Nie,,DANE OSOBOWE
239,220502_4.0001.71/3,71/3,Kartuzy - M,1,0.0776,B 0.0776,ul. Prokowska 11D,Nie,Nie,,DANE OSOBOWE
240,220502_4.0001.30/1,30/1,Kartuzy - M,1,0.0286,B 0.0286,ul. Zagórze 4,Nie,Nie,,DANE OSOBOWE
241,220502_4.0001.81/4,81/4,Kartuzy - M,1,0.0474,B 0.0474,ul. Bohaterów Westerplatte 45A,Nie,Nie,,DANE OSOBOWE
242,220502_4.0001.81/6,81/6,Kartuzy - M,1,0.0072,B 0.0072,,Nie,Nie,,DANE OSOBOWE
243,220502_4.0001.79/1,79/1,Kartuzy - M,1,0.1002,RIVb 0.1002,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
244,220502_4.0001.79/4,79/4,Kartuzy - M,1,0.0012,RIVb 0.0012,ul. Krasickiego,Nie,Nie,,DANE OSOBOWE
245,220502_4.0001.7/17,7/17,Kartuzy - M,1,0.0529,B 0.0529,ul. Łąkowa 34,Nie,Nie,,DANE OSOBOWE
246,220502_4.0001.37/4,37/4,Kartuzy - M,1,0.0314,B 0.0314,,Nie,Nie,,DANE OSOBOWE
247,220502_4.0001.37/3,37/3,Kartuzy - M,1,0.0131,B 0.0131,,Nie,Nie,,DANE OSOBOWE
248,220502_4.0001.37/2,37/2,Kartuzy - M,1,0.0413,B 0.0413,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
249,220502_4.0001.132,132,Kartuzy - M,1,0.885,Bi 0.8850,ul. Klasztorna 3,Nie,Nie,,DANE OSOBOWE
250,220502_4.0001.130/3,130/3,Kartuzy - M,1,0.0003,RIVa 0.0003,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
251,220502_4.0001.102/3,102/3,Kartuzy - M,1,0.0027,dr 0.0027,ul. Klasztorna,Nie,Nie,,DANE OSOBOWE
252,220502_4.0001.128/1,128/1,Kartuzy - M,1,0.0051,Bi 0.0051,ul. Klasztorna,Nie,Nie,360 (1971-02-20),DANE OSOBOWE
253,220502_4.0001.183,183,Kartuzy - M,1,0.0482,B 0.0482,ul. Obrońców Poczty Polskiej,Nie,Nie,,DANE OSOBOWE
254,220502_4.0001.88/8,88/8,Kartuzy - M,1,0.0006,dr 0.0006,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
255,220502_4.0001.88/10,88/10,Kartuzy - M,1,0.0013,B 0.0013,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
256,220502_4.0001.45,45,Kartuzy - M,1,0.0564,Br-PsV 0.0564,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
257,220502_4.0001.138,138,Kartuzy - M,1,0.0434,Br-RIVb 0.0434,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
258,220502_4.0001.154,154,Kartuzy - M,1,0.0436,Br-RIVb 0.0436,ul. Bohaterów Westerplatte,Nie,Nie,,DANE OSOBOWE
259,220502_4.0001.15/11,15/11,Kartuzy - M,1,0.035,Br-PsIV 0.0350,,Nie,Nie,,DANE OSOBOWE
