L.p.,Identyfikator,Nr działki,Jednostka ewidencyjna,Obręb,Powierzchnia ewidencyjna,Klasoużytki,Adres,Granica sporna?,Teren zamknięty?,Rejestr zabytków,Zmodyfikował(a)
462,220502_4.0001.75/5,75/5,Kartuzy - M,1,0.0738,Bp 0.0738,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
463,220502_4.0001.74/6,74/6,Kartuzy - M,1,0.2377,PsIV 0.0070; Br-PsIV 0.1510; Bp 0.0797,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
464,220502_4.0001.82/1,82/1,Kartuzy - M,1,0.0027,RIVb 0.0027,,Nie,Nie,,DANE OSOBOWE
465,220502_4.0001.112/5,112/5,Kartuzy - M,1,0.0021,RIVb 0.0021,ul. Prokowska 12,Nie,Nie,,DANE OSOBOWE
466,220502_4.0001.75/6,75/6,Kartuzy - M,1,0.0861,Bp 0.0861,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
467,220502_4.0001.113/5,113/5,Kartuzy - M,1,0.0023,RIVb 0.0023,ul. Prokowska,Nie,Nie,,DANE OSOBOWE
468,220502_4.0001.81/11,81/11,Kartuzy - M,1,0.0023,RIVb 0.0023,,Nie,Nie,,DANE OSOBOWE
469,220502_4.0001.82/5,82/5,Kartuzy - M,1,0.0282,dr 0.0282,,Nie,Nie,,DANE OSOBOWE
470,220502_4.0001.76/4,76/4,Kartuzy - M,1,0.072,Bp 0.0720,,Nie,Nie,,DANE OSOBOWE
471,220502_4.0001.7/4,7/4,Kartuzy - M,1,0.0469,B 0.0469,ul. Łąkowa 47,Nie,Nie,,DANE OSOBOWE
472,220502_4.0001.22,22,Kartuzy - M,1,0.0639,B 0.0639,ul. Podgórna,Nie,Nie,,DANE OSOBOWE
473,220502_4.0001.130/6,130/6,Kartuzy - M,1,0.2101,RIVa 0.2101,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
474,220502_4.0001.15/20,15/20,Kartuzy - M,1,0.0479,B 0.0479,ul. Wzgórze Wolności,Nie,Nie,,DANE OSOBOWE
475,220502_4.0001.15/22,15/22,Kartuzy - M,1,0.0024,dr 0.0024,,Nie,Nie,,DANE OSOBOWE
476,220502_4.0001.84/5,84/5,Kartuzy - M,1,0.0649,B 0.0649,ul. Bohaterów Westerplatte 44,Nie,Nie,,DANE OSOBOWE
477,220502_4.0001.12/16,12/16,Kartuzy - M,1,0.0658,Br-RIVb 0.0658,ul. Łąkowa 27,Nie,Nie,,DANE OSOBOWE
478,220502_4.0001.182,182,Kartuzy - M,1,0.0615,B 0.0615,ul. Obrońców Poczty Polskiej 3,Nie,Nie,,DANE OSOBOWE
479,220502_4.0001.60/2,60/2,Kartuzy - M,1,0.03,dr 0.0300,ul. Obrońców Poczty Polskiej,Nie,Nie,,DANE OSOBOWE
480,220502_4.0001.60/3,60/3,Kartuzy - M,1,0.179,dr 0.1790,ul. Obrońców Poczty Polskiej,Nie,Nie,,DANE OSOBOWE
